#{"t_start": 1738069472.3063293, "env_id": "None"}
r,l,t
-447.504082,440,5.584956
-365.110575,440,10.214391
-408.884286,440,15.28006
-430.164026,440,19.988974
-385.507167,440,31.959686
-385.868312,440,36.864174
-351.285124,440,41.58119
-451.953569,440,46.339998
-352.664143,440,51.01729
-366.57213,440,62.857816
-367.996093,440,67.514974
-353.664654,440,72.260642
-369.280431,440,76.95819
-377.263535,440,89.384354
-393.623634,440,94.183698
-352.221923,440,98.904763
-366.464928,440,103.659446
-312.046368,422,108.248615
-440.12163,440,120.610241
-440.967729,440,125.318814
-351.647535,440,130.122986
-381.696162,440,134.852631
-392.691389,440,139.690481
-389.683081,440,152.326947
-358.71417,440,157.593241
-363.24466,440,162.969085
-349.57402,440,168.398915
-378.269565,440,183.386534
-125.028111,223,185.909055
-376.253653,440,190.908384
-355.248352,440,195.92201
-395.157857,440,200.885699
-411.330564,440,205.930995
-352.249342,440,218.481013
-373.067116,440,223.529865
-346.949409,440,228.558553
-1136.877339,1400,251.867759
-415.463252,440,256.876378
-428.870845,815,266.17854
-412.500156,600,280.914657
-347.45758,440,286.292353
-400.248533,440,291.396731
-489.008712,967,309.950231
-742.607427,1040,322.256271
-368.610447,440,327.367882
-1040.745986,1200,349.48204
-67.194138,120,350.82161
-616.733734,760,359.957316
-142.596569,208,362.330917
-79.052345,144,371.590893
-356.889307,440,376.821339
-433.991029,584,383.992394
-69.212877,121,385.463255
-792.874618,1040,407.586869
-681.248505,960,419.688872
-834.960701,920,441.277519
-149.338062,218,444.125279
-142.150221,378,449.074284
-662.297742,680,457.896876
-38.01179,91,459.081276
-30.222837,75,460.065372
-19.802915,60,460.841677
-29.931923,64,461.690087
-213.000351,247,465.011823
-41.80982,87,466.140123
-23.447608,70,467.032851
-30.585184,81,476.989775
-194.115648,210,479.723004
-28.953781,76,480.715237
-28.565757,77,481.692255
-953.772941,1600,502.799942
-8.306893,54,503.502647
-22.773878,61,513.140031
-1596.650472,1600,534.223805
-18.073901,73,535.227505
-19.738279,60,536.017311
-24.134552,65,536.98809
-920.792498,1080,560.21057
-28.145972,93,561.39577
-32.42627,80,562.467021
-590.995361,680,571.316648
-25.851836,78,572.336472
-68.481858,114,573.849904
-36.080673,81,574.866212
-51.428598,105,585.660274
-43.923204,91,586.744407
-26.4298,53,587.392885
-46.804183,96,588.605065
-50.906887,582,596.159594
-904.053213,1600,626.007803
-21.503292,71,626.929211
-26.43878,78,627.997917
-55.982669,108,629.334915
-695.249693,1600,659.463278
-784.275917,1600,680.587662
-980.268278,1600,710.559536
-28.589937,68,711.443229
-32.029283,77,712.445256
-40.160115,92,713.632741
-208.512476,352,718.194425
-1040.834687,1600,748.204653
-10.949457,66,749.111691
-65.59577,112,750.590768
-34.974937,79,751.648238
-74.483006,125,753.332509
-21.733404,70,754.316723
-37.958899,72,762.736403
-785.482344,1600,781.445384
-35.452487,91,782.519797
-14.971555,48,783.087329
-27.263608,72,783.918582
-721.122692,1320,806.724975
-11.028951,77,807.710636
-662.937108,720,816.535433
-33.193952,85,817.607635
-11.765527,46,818.178938
-682.253881,600,832.251759
-708.212747,1335,847.804285
-663.741247,926,865.698299
-36.906689,241,868.511756
-31.861049,66,869.258476
-11.37181,54,869.866742
-30.418114,73,870.69903
-15.103116,54,871.332217
-636.781959,1240,893.243674
-12.211438,57,893.907434
-24.805441,71,894.724394
-106.145102,401,899.541188
-886.747658,1600,925.689907
-48.716298,216,928.264759
-670.768316,1544,954.244504
-100.548842,391,959.034064
-595.453728,1020,971.043745
-311.198356,557,984.839078
-8.272369,55,985.522115
-600.594363,720,994.016988
-27.795345,65,994.75465
-23.811871,65,995.56888
-17.60786,54,996.224068
-820.612442,800,1006.020169
-4.659211,51,1006.649905
-13.124755,50,1007.295168
-791.634358,1600,1033.538169
-51.989218,72,1034.456783
-343.746496,507,1048.131457
-21.127558,64,1048.936411
-72.463071,412,1054.044107
-17.634222,55,1054.714029
-242.622546,642,1062.112986
-12.799574,51,1062.738839
-29.838878,71,1063.579883
-306.440774,683,1079.131661
-87.632637,144,1080.827914
-23.294763,57,1081.507254
-1080.144447,1600,1100.764812
-747.49291,880,1118.941913
