#{"t_start": 1738069471.7733815, "env_id": "None"}
r,l,t
-364.022323,440,6.120621
-393.973174,440,10.741594
-453.011249,440,15.807104
-362.300876,440,20.519021
-359.062306,440,32.492246
-422.269703,440,37.402264
-353.311381,440,42.109046
-454.601486,440,46.871277
-354.033961,440,51.55186
-364.827206,440,63.389632
-420.720881,440,68.034929
-436.29097,440,72.788207
-374.488002,440,77.494009
-352.852065,440,89.92086
-422.03983,440,94.707622
-362.399165,440,99.433631
-351.701551,440,104.187936
-398.946055,440,108.980512
-350.905879,440,121.330676
-399.268481,440,126.047929
-351.575553,440,130.849161
-371.031084,440,135.57471
-390.135157,440,140.427189
-350.429965,440,153.086954
-408.741687,440,158.326169
-350.471194,440,163.715044
-410.835438,440,169.195563
-353.800586,440,184.155054
-355.562162,440,189.123209
-364.620518,440,194.139468
-347.374006,440,199.107779
-376.61897,440,204.113711
-746.262294,1080,223.99786
-793.135769,1080,236.358515
-347.646226,440,248.759781
-400.071131,440,253.712392
-352.13042,440,258.69139
-579.487331,1239,280.736905
-413.259597,440,286.087263
-1012.10192,1600,311.993979
-29.782209,94,313.069331
-105.272487,166,314.98486
-1459.96896,1560,341.076019
-22.679518,88,342.096004
-86.735129,124,343.658411
-140.368074,185,345.892742
-359.873448,440,351.222723
-865.027326,920,362.195979
-1317.042694,1320,385.668799
-122.622791,225,388.259614
-19.564737,64,389.035887
-39.46332,84,390.017734
-416.174154,640,407.401278
-942.680548,1120,421.556343
-407.370034,440,427.311161
-50.54584,106,428.76446
-27.02551,75,429.786308
-29.287366,69,430.706698
-1437.346514,1399,458.403853
-104.162227,167,460.583051
-27.056506,77,461.60438
-22.010897,61,462.395707
-36.934901,80,463.434684
-531.955669,935,484.702011
-125.337033,676,493.686195
-23.251003,123,495.456063
-36.250978,79,496.49694
-1515.75888,1600,526.106332
-1274.038417,1520,555.081723
-11.161253,59,555.924591
-27.635546,68,556.859601
-716.603297,760,566.924839
-13.192453,58,567.667609
-7.906959,47,568.302742
-27.895546,73,569.27056
-171.71606,563,585.97842
-562.588322,1600,606.455392
-24.938066,85,607.560853
-19.474354,61,608.401479
-35.760382,76,609.362944
-17.205553,49,609.978619
-34.733188,97,611.288017
-1442.239166,1600,641.131133
-18.436066,64,641.981471
-31.859629,79,643.068921
-13.340656,48,643.692539
-53.246621,114,645.17823
-42.31141,100,646.428861
